,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,No.,Area,Sub-Task,Priority (P0/P1/P2),Current State / Risk,What To Do (Acceptance Criteria),Files / Places to Change,Owner,Status,Target % After Done,Why?
,1,Core UI & Flows,Home screen empty/error states,P0,Home renders but lacks consistent empty/error/skeleton UX,"Add skeleton loaders, empty state (no teachers), and toast for fetch errors. QA across slow 3G and offline.",src/screens/HomeScreen.tsx,Tarun/Dev,Done,55,"Home screen empty/error states — Why: blank screens on slow/spotty networks cause churn. Do: skeleton loaders, explicit empty state + “clear filters” CTA, retry on errors. Gotchas: distinguish offline vs server 500; map React Query errors to friendly text; log to Sentry. Test: throttle to 3G; simulate 500/timeout/offline. Patch: patches/feat-core-ui-empty-error-skeleton-home.patch"
,2,Core UI & Flows,All Subjects – filterable list,P0,Filters present but partial and not persisted across navigation,Persist selected subject/rating/fee/distance in global store; debounce search; show active filter chips; reset button,src/screens/AllSubjectsScreen.tsx; src/store/filterStore.ts,Tarun/Dev,Done,57,"All Subjects – filterable list — Why: persisting filters prevents frustration. Do: global store for filters, debounce 300–500ms, visible “clear all,” show active chips. Gotchas: reset pagination on filter change; avoid over-fetch. Test: apply filters → navigate away/back → filters still applied, results consistent. Patch: patches/feat-core-ui-all-subjects-persistent-filters.patch"
,3,Core UI & Flows,Teacher Profile – data completeness,P0,"Profile shows core fields; some fields (courses, schedules) unwrapped or missing fallback","Render all Airtable fields with graceful fallbacks, wrapping long text; add 'Contact/Book' CTA",src/screens/TeacherProfileScreen.tsx,Tarun/Dev,Done,58,"Teacher Profile – data completeness — Why: decision point for parents. Do: render all fields with fallbacks; wrap long text; badges (Verified/Top Rated); clear CTAs. Gotchas: bad image URLs; unit localization (km, VND). Test: profiles with nulls/very long bios/broken images. Patch: patches/feat-core-ui-teacher-profile-completeness.patch"
,4,Core UI & Flows,Booking UI – validation & UX,P0,Form allows submit with optimistic local checks only,"Client-side schema validation (Zod/Yup), disable submit while pending, success/failure screens, and duplicate submission guard",src/screens/BookingScreen.tsx; src/validation/booking.ts,Tarun/Dev,Done,60,"Booking UI – validation & UX — Why: avoid junk/duplicates; clarity on outcome. Do: Zod/Yup client schema, disable submit while pending, success screen with ref ID, duplicate guard. Gotchas: timezone, min age; server re-validates. Test: invalid inputs, rapid taps, mid-submit network drop. Patch: patches/feat-core-ui-booking-validation.patch"
,5,Core UI & Flows,List pagination & caching,P0,Large lists may fetch everything; no infinite scroll strategy,Implement React Query infinite queries; pageSize=20; pull-to-refresh; cacheTime/staleTime tuned; show list footer loaders,src/hooks/useTeachers.ts; src/screens/SubjectResultsScreen.tsx; src/services/airtable.ts,Tarun/Dev,Done,61,"List pagination & caching — Why: smooth infinite scroll + lower API cost. Do: React Query useInfiniteQuery (page≈20), footer loader, pull-to-refresh, tuned staleTime. Gotchas: reset on filter/location change; no dupes; correct end-of-list. Test: repeated scroll + filter swaps. Patch: patches/feat-core-ui-list-pagination.patch"
,6,Core UI & Flows,Image performance & caching,P1,Teacher photos load without caching/resize discipline,"Use expo-image with caching, thumbnails + content-fit, CDN URLs if possible; prefetch top cards",src/components/TeacherCard.tsx,Tarun/Dev,Done,62,"Image performance & caching — Why: images dominate bandwidth. Do: expo-image caching, thumb/blurhash, fixed heights, optional CDN resize. Gotchas: layout shifts; prefetch top N; handle 404s. Test: 3G scroll FPS and cache hits on revisit. Patch: patches/feat-ui-image-performance-caching.patch"
,7,Core UI & Flows,Localization coverage (EN/VI),P0,Most strings i18n; some hard-coded left,Audit all screens; extract to i18n; ensure date/number formatting locale-aware; verify VI as default,App.tsx; src/translations/index.ts; src/hooks/useLocale.ts; all screens,Tarun/Dev,Done,63,"Localization coverage (EN/VI) — Why: VI default; consistency builds trust. Do: extract all strings; localize dates/currency/distance; ensure toggle re-renders. Gotchas: concatenated strings, plurals, subject keys. Test: toggle EN/VI across app; long VI labels don’t overflow. Patch: patches/feat-core-ui-i18n-coverage.patch"
,8,Core UI & Flows,Global error boundary,P1,App may crash without friendly boundary,Add a top-level ErrorBoundary with reset action and Sentry report capture,App.tsx,Tarun/Dev,Done,64,Global error boundary — Why: prevent white screens; capture crashes. Do: top-level ErrorBoundary with friendly UI + “Try again” and Sentry capture. Gotchas: safe reset of nav state; don’t hide dev errors. Test: force error; boundary renders; Sentry event appears. Patch: patches/feat-core-errorboundary-reset.patch
,9,Core UI & Flows,Offline fallback,P2,No offline UX,Display offline banner and cached last-known list; retry button,src/hooks/network.ts; src/screens/HomeScreen.tsx,Tarun/Dev,Done,65,"Offline fallback — Why: variable VN networks. Do: NetInfo banner, cached last-known lists, retry button. Gotchas: don’t confuse offline vs server 500; don’t write stale cache. Test: airplane mode → banner + cached content; recovery path. Patch: patches/feat-core-ui-offline-fallback.patch"
,10,Core UI & Flows,"Feed (posts, comments, likes)",P1,UI exists but reactions/comments are local or partially wired,Wire to protected backend endpoints; optimistic UI with server truth reconciliation; abuse/report hooks,app/feed.tsx; src/services/backend.ts; functions/src/index.ts,Tarun/Dev,Done,66,"Feed (posts, comments, likes) — Why: UGC needs server truth/abuse control. Do: protected endpoints, optimistic UI with rollback, rate-limit posting, "Report" action. Gotchas: one-like-per-user server rule; sanitize text; validate uploads. Test: flood likes/comments, reconcile counts. Patch: patches/feat-core-ui-feed-posts-comments-likes.patch"
,11,Auth & Roles,Firebase Auth enablement,P0,Login uses Airtable password check; no Firebase ID token,Implement Firebase Auth (email/password or phone OTP). Store session in React Native; signOut flow,src/services/auth.ts; src/screens/LoginScreen.tsx; src/screens/RegisterScreen.tsx; src/screens/ForgotPasswordScreen.tsx; src/contexts/UserContext.tsx,Tarun/Dev,Done,35,"Firebase Auth enablement — Why: protected APIs need verified identity. Do: Firebase Auth (email/pass or phone OTP), ID token on every call, secure session & sign-out. Gotchas: token refresh; route guards. Test: protected endpoint 401 when signed out, 200 when signed in. Patch: patches/feat-auth-roles-firebase-auth-enablement.patch"
,12,Auth & Roles,Airtable ↔ Firebase UID linking,P0,Users not linked to UID; backend can’t authorize by user identity,Create secure function to upsert Airtable user record with Firebase UID on first login; prevent duplicates,functions/src/index.ts; src/services/backend.ts; src/screens/LoginScreen.tsx,Tarun/Dev,Done,40,"Airtable ↔ Firebase UID linking — Why: backend needs identity ↔ record mapping. Do: on first login, create/link Airtable user by Firebase UID; enforce UID uniqueness. Gotchas: email change; dup merges; first-login race. Test: new/returning/existing-row flows. Patch: patches/feat-auth-roles-uid-linking.patch"
,13,Auth & Roles,Role-based access (parent/teacher/admin),P0,No role claims; routes/components not guarded,Assign custom claims on server; add route guards; hide admin-only UI; deny at API layer by role,functions/src/middleware/role.ts; functions/src/index.ts; src/screens/RoleSelectionScreen.tsx,Tarun/Dev,Done,45,Role-based access (parent/teacher/admin) — Why: prevent privilege escalation. Do: set custom claims server-side; check claims in middleware + UI guards. Gotchas: refresh token after role change; never client-only checks. Test: parent attempts admin action → 403 and hidden UI. Patch: patches/feat-auth-roles-role-based-access.patch
,14,Auth & Roles,Password reset / OTP verification,P1,No secure recovery path,Add Forgot Password flow (email link) or phone OTP; throttle requests,src/screens/ForgotPasswordScreen.tsx; src/services/auth.ts,Tarun/Dev,Done,47,Password reset / OTP verification — Why: account recovery & trust. Do: email reset or phone OTP; throttle; audit events. Gotchas: SIM-swap risk; localized content. Test: valid/invalid recovery; lockout after many tries. Patch: patches/feat-auth-password-reset.patch
,15,Auth & Roles,Terms acceptance & age gate,P1,No ToS acceptance recorded,Show ToS/Privacy on first login; store acceptance timestamp on user record,src/screens/LegalScreen.tsx; src/services/backend.ts; functions/src/index.ts,Tarun/Dev,Done,49,Terms acceptance & age gate — Why: legal + minors. Do: show ToS/Privacy first login; record version + timestamp; collect parental contact for minors. Gotchas: localization; evidence storage. Test: re-prompt on policy version bump. Patch: patches/feat-auth-roles-terms-age-acceptance.patch
,16,Backend/API Security,Lock generic CRUD routes,P0,Public /tables/:table endpoints allow read/write/delete by anyone,"Remove or protect /tables/* behind auth middleware; replace with specific, allow-listed endpoints",functions/src/index.ts,Tarun/Dev,Done,35,"Lock generic CRUD routes — Why: open /tables/* = anyone can read/write/delete. Do: remove or protect; replace with specific endpoints (e.g., /api/bookings/create) + auth/role + validation. Gotchas: CORS preflight; consistent error codes. Test: anonymous curl → 401/403; authorized limited to allowed actions." Patch: patches/feat-backend-api-security-lock-generic-crud-routes.patch
,17,Backend/API Security,Schema validation (Zod),P0,No server-side validation on input payloads,Add Zod schemas for Bookings/Reviews/Users; reject invalid; normalize data,functions/src/schemas/*.ts; functions/src/handlers/*.ts,Tarun/Dev,Done,40,"Schema validation (Zod) — Why: block bad/mass-assignment data. Do: Zod for all bodies (Bookings/Reviews/Users), strip unknown, enforce enums. Gotchas: keep client/server schemas aligned. Test: invalid/extra fields → 400 with clear message." Patch: patches/feat-backend-api-security-zod-validation.patch
