Batch,Module,ModuleTitle,Lesson,LessonTitle,StepNum,StepTitle,StepType,AnimationType,Characters,SceneSetting,Status,HeyGenVideo,Notes
1,1,First Contact in an Emergency,1,"What's happening? First words in an emergency",1,Scenario: Emergency Room,scenario_intro,SCENE_CARD,—,Emergency department triage desk,Done,No,ScenarioIntroStep already implemented
1,1,First Contact in an Emergency,1,"What's happening? First words in an emergency",2,Watch: Real emergency encounter,video,HEYGEN_VIDEO,Nurse Linh+Patient Dave,Triage desk,Done,Yes,"HeyGen video uploaded to Supabase (module1-triage-dialogue.mp4); step 3a90dbfd inserted at order_index 2"
1,1,First Contact in an Emergency,4,"A second scenario — new context, same language",1,Scenario: Patient fainting in the entrance,scenario_intro,SCENE_CARD,—,Hospital entrance,Pending,No,
2,1,First Contact in an Emergency,4,"A second scenario — new context, same language",3,Read the three-person dialogue,script_read,CONVO_3,Nurse+Patient+Family,Hospital entrance,Pending,No,
2,1,First Contact in an Emergency,2,Key phrases in action,2,Read along: Identify the key phrases,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
2,1,First Contact in an Emergency,6,Pair practice — round 1,1,Round 1: Full script roleplay,script_read,CONVO_2,Nurse+Patient,Triage desk,Pending,No,
3,2,Triage Intake,1,Asking the right questions,1,Scenario: Triage Desk,scenario_intro,SCENE_CARD,—,Triage desk,Pending,No,
3,2,Triage Intake,1,Asking the right questions,3,Read the triage dialogue,script_read,CONVO_2,Nurse+Patient,Triage desk,Pending,No,
3,2,Triage Intake,4,A different presentation,1,Scenario: Back injury after a fall,scenario_intro,SCENE_CARD,—,Triage assessment area,Pending,No,
4,2,Triage Intake,4,A different presentation,3,Read: applying triage to a new case,script_read,CONVO_2,Nurse+Patient,Triage desk,Pending,No,
4,2,Triage Intake,2,Describing symptoms,2,Read along: describing pain types,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
4,2,Triage Intake,6,Pair triage — round 1,1,Full pair triage script,script_read,CONVO_2,Nurse+Patient,Triage desk,Pending,No,
5,3,Immediate Instructions in Emergencies,1,Safety first — giving urgent instructions,1,Scenario: Leg injury in trauma bay,scenario_intro,SCENE_CARD,—,Trauma bay,Pending,No,
5,3,Immediate Instructions in Emergencies,1,Safety first — giving urgent instructions,3,Read the trauma bay dialogue,script_read,CONVO_2,Nurse+Patient,Trauma bay,Pending,No,
5,3,Immediate Instructions in Emergencies,4,When the patient cannot cooperate,1,Scenario: Confused elderly patient,scenario_intro,SCENE_CARD,—,Ward corridor,Pending,No,
6,3,Immediate Instructions in Emergencies,4,When the patient cannot cooperate,3,Read: managing the resistant patient,script_read,CONVO_2,Nurse+Patient,Ward bed,Pending,No,
6,3,Immediate Instructions in Emergencies,2,More critical instructions,2,Read: consciousness-maintaining language,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
6,3,Immediate Instructions in Emergencies,6,Pair instructions — round 1,1,Full pair instruction script,script_read,CONVO_2,Nurse+Patient,Trauma bay,Pending,No,
7,4,Common Emergency Scenarios,1,Chest pain and breathing emergencies,1,Scenario: Cardiac presentation,scenario_intro,SCENE_CARD,—,Emergency triage,Pending,No,
7,4,Common Emergency Scenarios,1,Chest pain and breathing emergencies,3,Read the cardiac emergency dialogue,script_read,CONVO_2,Nurse+Patient,Triage desk,Pending,No,
7,4,Common Emergency Scenarios,4,"A complex scenario: two problems at once",1,Scenario: Breathing + bleeding simultaneously,scenario_intro,SCENE_CARD,—,A&E resus bay,Pending,No,
8,4,Common Emergency Scenarios,4,"A complex scenario: two problems at once",3,Read: dual emergency prioritisation,script_read,CONVO_2,Nurse+Patient,Resus bay,Pending,No,
8,4,Common Emergency Scenarios,2,Bleeding and trauma,2,Read: wound assessment and instruction,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
8,4,Common Emergency Scenarios,6,Pair scenario practice — round 1,1,"Full pair scenario: fever + confusion",script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
9,5,Communicating Patient Deterioration & Escalation Protocols,1,Vital Signs in Crisis — What the Numbers Mean,1,Emergency Ward — A Patient's Numbers Change,scenario_intro,SCENE_CARD,—,Emergency ward,Pending,No,
9,5,Communicating Patient Deterioration & Escalation Protocols,1,Vital Signs in Crisis — What the Numbers Mean,3,Read the Escalation Dialogue,script_read,CONVO_2,Nurse+Patient,Ward bed,Pending,No,
9,5,Communicating Patient Deterioration & Escalation Protocols,4,A Second Scenario — Respiratory Deterioration,1,Post-Op Ward — Breathing Becomes Difficult,scenario_intro,SCENE_CARD,—,Post-op ward,Pending,No,
10,5,Communicating Patient Deterioration & Escalation Protocols,4,A Second Scenario — Respiratory Deterioration,3,Read the Escalation Call,script_read,DEBRIEF,Nurse+Doctor,Post-op ward,Pending,No,
10,5,Communicating Patient Deterioration & Escalation Protocols,2,Key Phrases in Action — Red Flags & Urgency,2,Read the SBAR Phone Call,script_read,DEBRIEF,Nurse+Doctor,Nursing station,Pending,No,
10,5,Communicating Patient Deterioration & Escalation Protocols,6,Pair Practice — Round 1: Structured SBAR Handover,1,Full Script — Nurse to Doctor: Cardiac Concern,script_read,DEBRIEF,Nurse+Doctor,Nursing station,Pending,No,
11,6,Reassurance Under Pressure,1,Calming a Panicking Patient in A&E,1,A&E — Panicking Patient,scenario_intro,SCENE_CARD,—,A&E bay,Pending,No,
11,6,Reassurance Under Pressure,1,Calming a Panicking Patient in A&E,3,Read the Reassurance Dialogue,script_read,CONVO_2,Nurse+Patient,A&E bay,Pending,No,
11,6,Reassurance Under Pressure,4,De-escalating a Distressed Relative,1,Ward — Distressed Relative,scenario_intro,SCENE_CARD,—,Ward corridor,Pending,No,
11,6,Reassurance Under Pressure,4,De-escalating a Distressed Relative,3,Read the De-escalation Dialogue,script_read,FAMILY,Nurse+Family,Ward corridor,Pending,No,
