Asset Type,Asset Name,Full Path,What It Contains,When To Use It,Last Updated,Added By
,,,,,,
STRATEGY & PLANNING,,,,,,
Planning Doc,Full PRD,/Users/pc/tutoAll/tuto1/docs/prd-specs/TUTO_SOCIAL_PRD.md,Complete product spec — user types / feature set / screen map / data architecture / monetization / engagement mechanics / moderation / tech architecture / 10-phase roadmap. Created Jan 22 2026.,Read before any feature work. Reference for what belongs in each phase.,2026-01-22,Product Team
Planning Doc,Implementation Plan,/Users/pc/tutoAll/tuto1/docs/prd-specs/TUTO_SOCIAL_IMPLEMENTATION_PLAN.md,10-part development breakdown with files to create / acceptance criteria / test checklists for each part. Parts are sequential — Part 1 must pass before Part 2 starts.,Use to understand what files to create in each development part. Check off acceptance criteria before marking a part done.,2026-01-22,Product Team
Planning Doc,Architecture & Cursor Rules,/Users/pc/tutoAll/tuto1/docs/prd-specs/TUTO_SOCIAL_CURSOR_RULES.md,Non-negotiable architecture rules — Supabase only (no Firebase) / file location rules / naming conventions / social-first design patterns / code standards / security rules. Version 1.2.,Read this before writing any code. All code must comply with these rules.,2026-01-22,Product Team
Planning Doc,PM Brainstorm & Assessment,/Users/pc/Desktop/tutoSocialDesign1/TUTO_SOCIAL_PM_BRAINSTORM.md,Full product brainstorm session with Tarun's inline comments. Contains: strategic decisions made / Tarun's vision for interconnected user graph / teacher shields / moderation approach / cold start strategy / revised scorecard / recommended MVP scope / Phase roadmap. Most important strategic context document.,Read when you need to understand WHY decisions were made. Contains Tarun's direct annotations on the product vision.,2026-03-18,PM Session
,,,,,,
TRACKING FILES,,,,,,
Tracker,Progress Tracker,/Users/pc/tutoAll/tuto1/docs/prd-specs/TUTO_SOCIAL_PROGRESS_TRACKER.csv,80+ row feature tracker. Columns: Feature Area / Sub-Feature / Phase / Platform / Priority / Status / Agent Role / Dependencies / Design Status / Notes. Every feature from DB schema to UI components to analytics tracking.,Check before starting work (confirm Not Started). Update Status to In Progress when you begin. Update to Complete when done. DO NOT build anything already marked Complete.,2026-03-18,PM Session
Tracker,Asset Map (this file),/Users/pc/tutoAll/tuto1/docs/prd-specs/TUTO_SOCIAL_ASSET_MAP.csv,Index of every file / folder / screenshot / code reference used in the project. Updated whenever new designs / code / reference material is saved.,Use to find any design screenshot / code reference / Figma output. UPDATE THIS FILE when you save new reference material.,2026-03-18,PM Session
,,,,,,
CURSOR RULES,,,,,,
Cursor Rule,tuto.social Agent Rules,/Users/pc/tutoAll/tuto1/.cursor/rules/rules.tuto-social.mdc,Auto-applied Cursor rule for all social feature files. Contains: agent roles / product vision / moderation rules / teacher shields logic / privacy rules / design tokens / data flow / post types reference / success metrics / pre-submit checklist.,Automatically applied by Cursor when working on social files. Read it manually if starting a new session.,2026-03-18,PM Session
,,,,,,
FIGMA PROMPTS (use these to generate or regenerate designs),,,,,
