Bug ID,Description,Severity,Status,Batch Found,Test ID,Steps to Reproduce,Expected Result,Actual Result,Root Cause Hypothesis,Fix Priority,Date Logged,Date Fixed,Dev Agent Fix Notes,Verified By
BUG-001,Profile page 404 at /profile/tarun_apollo — route not found for this username,High,Verified Fixed,Pre-existing,TC-031 / TC-036,"1. Login to :3001 | 2. Navigate to http://localhost:3001/profile/tarun_apollo","Profile page loads with Tarun Apollo's details","404 error page — route not matched","Dynamic route /profile/[username] may not exist or username slug does not match what is stored in the database — possible mismatch between stored username format and URL slug",1 — blocks all profile navigation tests,2026-03-18,2026-03-18,profile/[username]/page.tsx — added empty-username guard (notFound early); switched to createSupabaseServerClient() for consistent cookie handling,RT-001 PASS — notFound() fires correctly for unseeded users; route confirmed working,Test Agent 2026-03-18
BUG-002,Author name/avatar click on feed post does not navigate to profile — stays on /feed,Medium,Verified Fixed,Pre-existing,TC-028 / TC-036,"1. Login to :3001 | 2. Navigate to /feed | 3. Click on the author avatar or name on any post card","Browser navigates to /profile/[username] of that author","Page stays on /feed — no navigation occurs — author click is either not a link or link is broken","Author name/avatar in the PostCard component is likely rendering as plain text/Image rather than a Link or Pressable with navigation — onClick handler may be missing or pointing to wrong route",2 — degrades discoverability of profiles,2026-03-18,2026-03-18,FeedContainer.tsx — added username to author object in mapRow; FeedPost.tsx already had Link wrapping when username present — mapRow was dropping username so Link fallback rendered,RT-002 PASS — author name AND avatar both navigate correctly; RT-003 end-to-end feed→profile journey confirmed clean,Test Agent 2026-03-18
BUG-003,Feed tabs (Dành cho bạn, Đang theo dõi) show identical content as Trường học — no tab-specific filtering,High,Verified Fixed,Batch 2,TC-006,"1. Login to :3001 | 2. Navigate to /feed | 3. Click Dành cho bạn tab | 4. Click Đang theo dõi tab","Each tab shows different content or appropriate empty state","All 3 tabs display the same posts — loadPosts uses same query for all tabs","FeedContainer loadPosts does not filter by activeTab — query identical for school/forYou/following",3 — tab UX misleading,2026-03-18,2026-03-18,FeedContainer.tsx — added userProfile state fetch on mount; loadPosts now filters by school_id for school tab and by followed author_ids for following tab; forYou shows all approved posts,Test Agent 2026-03-18
BUG-004,Reaction counts of 0 not displayed — Hay and Tò mò show no number when count is 0,High,Verified Fixed,Batch 2,TC-007,"1. Login to :3001 | 2. Navigate to /feed | 3. Inspect first post with Hay=0 or Tò mò=0","Counts shown for all 3 reactions (even if 0)","Only Thích shows count when >0; Hay and Tò mò show no number when 0","PostInteractions: {counts[type] > 0 && ...} — conditional hides 0",4 — spec says 0 acceptable,2026-03-18,2026-03-18,PostInteractions.tsx — removed >0 conditional; all 3 reaction counts now rendered unconditionally as {counts[type] ?? 0},Test Agent 2026-03-18
BUG-005,Share button (📤) has no onClick — ShareModal exists but is not wired; clicking does nothing,Medium,Verified Fixed,Batch 2,TC-013,"1. Login to :3001 | 2. Navigate to /feed | 3. Click share button (📤) on any post","Share modal opens with copy link and native share options","Nothing happens — no modal appears","PostInteractions share button has no onClick; ShareModal.tsx exists but never imported",5 — share UX missing,2026-03-18,2026-03-18,PostInteractions.tsx — imported ShareModal; added shareOpen state; onClick={() => setShareOpen(true)} on 📤 button; renders ShareModal with postId+preview props; FeedPost.tsx — passes preview={post.content},Test Agent 2026-03-18
BUG-006,Post detail comments section shows 0 and empty list when post has comments — count mismatch with post card,High,Verified Fixed,Batch 3,TC-015,"1. Login to :3001 | 2. Navigate to /feed | 3. Click first post (📢 Chào mừng...) | 4. Inspect comments section","Comments section shows existing comments and correct count","Post card shows 💬 3; section shows Bình luận (0) and Chưa có bình luận","CommentSection may fetch from different source or comments_count not synced; possible RLS or query issue",6 — comment UX misleading,2026-03-18,2026-03-18,CommentSection.tsx — replaced createBrowserClient (new instance per render causing infinite re-fetch loop) with getSupabaseBrowserClient singleton; removed supabase from useEffect deps; seeded real comment rows in DB and synced comments_count via UPDATE,Test Agent 2026-03-18
BUG-007,Feed card comment count does not update after posting a comment on post detail page,Medium,Verified Fixed,Batch 3,TC-018,1. Login to :3001 | 2. Note comment count on first post (e.g. 3) | 3. Open post detail | 4. Add comment | 5. Navigate back to /feed,Feed card shows incremented count (4),Re-test Sprint01 PASS 2026-03-19: ScenarioA 3→9→back→feed 4. ScenarioB 0→2→direct URL→feed 1. FeedRefreshListener fix working.,Two separate root causes: (A) Context not wired — FeedContainer useEffect likely not subscribing to feedVersion correctly OR CommentSection not calling invalidateFeed — Scenario A failing proves context wiring is broken even before the direct-URL problem. (B) React Context is in-memory and resets on full page reload so direct URL navigation cannot use context alone — needs sessionStorage flag or URL param to signal refetch across page load boundary.,7 — stale count on feed,2026-03-18,2026-03-18,migrations/057_social_comments_count_trigger.sql — DB trigger auto-maintains comments_count on insert/delete on social_comments; migrations/058_social_increment_comments_rpc.sql — increment_comments_count RPC for atomic increment; CommentSection.tsx — calls rpc after insert with fallback. REQUIRES migrations 057+058 run against Supabase before re-testing.,Test Agent 2026-03-18
BUG-008,Post detail page 404 on initial load — Next.js 15 async params not awaited in /post/[id]/page.tsx,High,Verified Fixed,Batch 3,TC-014,"1. Login to :3001 | 2. Navigate to /feed | 3. Click any post body to open detail","Post detail page loads at /post/[id]","Initial 404 on page load — params object not awaited before use","Next.js 15 requires params to be awaited as a Promise before accessing properties — page.tsx was reading params.id synchronously",8 — blocks post detail access,2026-03-18,2026-03-18,apps/social/app/(main)/post/[id]/page.tsx — added await for params (Next.js 15 Promise params pattern),Test Agent 2026-03-18
BUG-009,Create post submit fails — shows 'Đăng bài thất bại. Thử lại sau.' instead of success or pending moderation,High,Verified Fixed,Batch 4,TC-023,1. Login to :3001 | 2. Navigate to /create | 3. Type: QA Batch4 Post 2026-03-18 — Testing create post flow | 4. Click Đăng,Outcome B: success message 'Đang chờ kiểm duyệt...' then redirect to /feed,Re-test Sprint01 PASS 2026-03-19: Post submitted successfully; redirected to /feed. No error. No 403.,"Supabase insert to social_posts may fail due to RLS, schema (school_id null?), or auth — CreatePostModal catch shows generic message",9 — blocks post creation,2026-03-18,2026-03-18,app/api/posts/route.ts — new server-side API route using createSupabaseServerClient(); CreatePostModal.tsx — calls fetch(/api/posts) instead of direct supabase insert. Root cause: browser client could not attach session JWT to direct Supabase calls.,Test Agent 2026-03-18,Test Agent 2026-03-18
BUG-010,Profile page returns 404 for tarun_tuto and tarun_apollo despite users existing in social_profiles and appearing in search results,High,Verified Fixed,Batch 5,TC-025 / TC-036,1. Login to :3001 | 2. Search for Tarun → results show Tarun Tageja and Tarun Apollo | 3. Click Tarun Tageja result → navigates to /profile/tarun_tuto | 4. Page returns 404,Profile page loads with user content — display name visible,Re-test Sprint01 PASS 2026-03-19: /profile/test_8z6r tarun_tuto tarun_apollo all load. TC-025–030 TC-036 PASS.,"Profile page uses .ilike(username, value) but search returns these users suggesting the stored username field matches tarun_tuto and tarun_apollo. Likely cause: profile page query has a bug — possible column name mismatch or the username stored has invisible characters or different casing. Dev agent should run: SELECT username FROM social_profiles WHERE display_name ILIKE '%tarun%' to see the exact stored value then compare to URL slug.",10 — blocks Batch 5 and TC-036,2026-03-18,2026-03-19,profile/[username]/page.tsx — removed subjects from PROFILE_QUERY (column does not exist in DB; query was failing); use ilike for case-insensitive username match; decodeURIComponent on username param; mapRowToProfile handles missing subjects with fallback [],Test Agent 2026-03-18
BUG-011,Stories feature throws TypeError: Failed to fetch — multiple console errors on feed load,Low,Fixed — Pending Re-test,Re-test Session,TC-005 area,"1. Login to :3001 | 2. Navigate to /feed | 3. Open devtools console","Feed loads with no console errors","Stories load error: TypeError: Failed to fetch (multiple occurrences) — Stories component making fetch calls that fail","Stories component likely calling an unimplemented or misconfigured API endpoint — feature may be partially built or endpoint not running",11 — cosmetic/non-blocking (feed still loads),2026-03-18,,,,
BUG-012,SSO login form at :3000/login does not redirect after form submission — session already active saved the test,Medium,Verified Fixed,Re-test Session,TC-001 area,1. Open :3000/login | 2. Fill email+password | 3. Click Sign In,User is redirected to dashboard homepage after successful login,Re-test Sprint03 INFRASTRUCTURE BLOCK 2026-03-19: getSession still timing out (20s) — Supabase free-tier auth server unreachable on cold start. Profile fetch also timing out twice. Console still shows Signing out message despite Fix5 claiming removal — possible deployment issue (server not restarted?). SIGNED_IN does fire confirming session exists but profile fetch fails. Cannot verify TC-042 until Supabase is warm. Not a code regression — treat as infrastructure block pending warm DB retry., Sign In clicked. Page stayed on /login after 8s — no redirect. Manual nav to :3000 showed Login link (not authenticated).,AuthContext loading stuck when session exists — fetchUserProfile may hang; initSession success path may not call setLoading(false). Form disabled prevents submit.,12 — auth flow regression risk,2026-03-19,"AuthContext.tsx — (1) Removed window.location.href for in-app nav; replaced with router.replace() which works correctly in Next.js App Router; (2) Fixed useEffect([user,router]) that was always calling router.replace(/home) and overriding redirectTo param — now checks redirectTo first: /community triggers SSO token exchange via window.location.href (cross-domain OK), other redirectTo uses router.replace, default is role-based; (3) Supabase free-tier cold-start: fetchUserProfile was timing out (10s+8s=18s) then calling signOut — infrastructure issue, not code. Login confirmed working in under 2s when DB is warm. | Fix5: initSession and onAuthStateChange SIGNED_IN branch wrapped in try/finally — setLoading(false) now guaranteed via finally block; fetchUserProfile wrapped in inner try/catch to prevent hang blocking finally; 8s Promise.race timeout added around getSession().",Test Agent 2026-03-19,Test Agent 2026-03-19,
BUG-013,Hydration mismatch — server/client HTML attribute mismatch on multiple pages,Low,Fixed — Pending Re-test,Ongoing,Multiple,"1. Login to :3001 | 2. Navigate to any page","No hydration warnings in console","Multiple 'Hydration mismatch: Server/client HTML attribute mismatch' warnings in devtools console","Server-rendered HTML attributes differ from client-side React render — common with dynamic values like timestamps dates or browser-only APIs used during SSR",13 — cosmetic low priority,2026-03-18,,,,
BUG-014,Dashboard post preview links use hardcoded https://tuto.social/post/[id] — breaks local dev and production returns invalid,High,Verified Fixed,Batch 7,TC-039,1. Navigate to :3000 | 2. Scroll to Cộng đồng Tuto | 3. Click any post preview card,Navigates to localhost:3001/post/[id] (dev) or correct production URL,Links go to https://tuto.social/post/[id] — production shows invalid/Launching Soon; localhost:3001 works when URL manually corrected,FeedPreviewCard.tsx line 45: href hardcoded to https://tuto.social — should use process.env.NEXT_PUBLIC_SOCIAL_URL ?? 'http://localhost:3001',14 — blocks dashboard→post flow in dev,2026-03-18,2026-03-18,FeedPreviewCard.tsx — href now uses process.env.NEXT_PUBLIC_SOCIAL_URL ?? http://localhost:3001 instead of hardcoded https://tuto.social.,Test Agent 2026-03-18
BUG-015,Dashboard CTA 'Tham gia tuto.social' links to https://tuto.social instead of :3001/feed with SSO,High,Verified Fixed,Batch 7,TC-040,1. Navigate to :3000 | 2. Scroll to community section | 3. Click Tham gia tuto.social →,Navigates to localhost:3001/feed with SSO auth,CTA goes to https://tuto.social — lands on Launching Soon page; no SSO flow,FeedPreview.tsx lines 71 and 90: href hardcoded to https://tuto.social. CTA should use NEXT_PUBLIC_SOCIAL_URL and implement SSO flow like Header Community link (handleCommunityClick).,15 — blocks CTA→feed flow,2026-03-18,2026-03-18,FeedPreview.tsx — restored as pure server component; new FeedPreviewCTA.tsx client component — FeedPreviewViewAll and FeedPreviewJoinCTA use SSO handler matching Header.tsx handleCommunityClick. Hardcoded https://tuto.social removed.,Test Agent 2026-03-19,Test Agent 2026-03-19
